confidence_min,duplicate_threshold,window_size,window_step_percent,x_intersection_allowed,inner_sliding_window,intersect,crop,complex_nn,vary_lines,make_lines,bbox_precision,bbox_recall,bbox_fscore,avg_iou,class_precision,class_recall,class_fscore
0.62,0.135,1100,0.3,1.1,False,False,False,True,False,True,0.9650582362728786,0.8948891031822566,0.928650055038527,0.7492253320752487,0.8306642657510876,0.8209051724137931,0.8218998198359609
0.62,0.14,1100,0.3,1.1,False,False,False,True,False,True,0.9650582362728786,0.8948891031822566,0.928650055038527,0.7492208822838973,0.8306642657510876,0.8209051724137931,0.8218998198359609
0.62,0.145,1100,0.3,1.1,False,False,False,True,False,True,0.9648575587440216,0.8948891031822566,0.9285571342805683,0.7492028502483825,0.8306642657510876,0.8209051724137931,0.8218998198359609
0.625,0.125,1100,0.3,1.1,False,False,False,True,False,True,0.9665411961522375,0.891417550626808,0.9274606200461522,0.749533589016241,0.8312421016421832,0.8215058416270012,0.8224900110744543
0.625,0.13,1100,0.3,1.1,False,False,False,True,False,True,0.9665621734587252,0.8919961427193829,0.9277833500501506,0.7495137551934848,0.8311017124624345,0.8214054054054054,0.8223848336470837
0.625,0.135,1100,0.3,1.1,False,False,False,True,False,True,0.9664023372287145,0.8931533269045323,0.9283351708930541,0.7493890203889253,0.8310713500952369,0.82142085942561,0.8223842806906627
0.625,0.14,1100,0.3,1.1,False,False,False,True,False,True,0.966409346964323,0.8933461909353906,0.9284425736620566,0.7493689131804881,0.830922041726156,0.8212435233160622,0.8222052830967462
0.625,0.145,1100,0.3,1.1,False,False,False,True,False,True,0.9662077596996246,0.8933461909353906,0.928349534021445,0.7493508500015613,0.830922041726156,0.8212435233160622,0.8222052830967462
0.63,0.125,1100,0.3,1.1,False,False,False,True,False,True,0.9668624161073825,0.8891031822565092,0.9263538631568372,0.7497578015405325,0.8326053698533646,0.8225596529284165,0.8236432844213881
0.63,0.13,1100,0.3,1.1,False,False,False,True,False,True,0.9668832529867952,0.8896817743490839,0.926677380474086,0.7497377703097021,0.8324631704834744,0.8224582701062215,0.8235367218810298
0.63,0.135,1100,0.3,1.1,False,False,False,True,False,True,0.9667224780242779,0.8908389585342333,0.9272307537890193,0.7496124204567876,0.8324289665886097,0.8224723966226456,0.823534431824422
0.63,0.14,1100,0.3,1.1,False,False,False,True,False,True,0.9667294413057125,0.8910318225650916,0.9273384183059012,0.749592212666842,0.8322793902016427,0.8222943722943723,0.8233547306264993
0.63,0.145,1100,0.3,1.1,False,False,False,True,False,True,0.9665271966527197,0.8910318225650916,0.9272453587556448,0.7495741025705673,0.8322793902016427,0.8222943722943723,0.8233547306264993
0.635,0.125,1100,0.3,1.1,False,False,False,True,False,True,0.9673958771560791,0.8869816779170685,0.9254452158164805,0.7500446893116312,0.8331264291641368,0.8227875625135899,0.8239362905222345
0.635,0.13,1100,0.3,1.1,False,False,False,True,False,True,0.9674164389321,0.8875602700096432,0.9257694628847314,0.7500244231814412,0.8329835156795871,0.8226857887874837,0.8238296680395437
0.635,0.135,1100,0.3,1.1,False,False,False,True,False,True,0.9672475330673945,0.8885245901639345,0.926216324889425,0.7499334399667855,0.8331476539020037,0.8228782287822878,0.8240152831343601
0.635,0.14,1100,0.3,1.1,False,False,False,True,False,True,0.9672544080604534,0.8887174541947926,0.9263242536938385,0.7499131098866946,0.8329986985159492,0.8226996527777778,0.8238359830482693
0.635,0.145,1100,0.3,1.1,False,False,False,True,False,True,0.9670514165792236,0.8887174541947926,0.9262311557788945,0.7498949526287109,0.8329986985159492,0.8226996527777778,0.8238359830482693
0.64,0.125,1100,0.3,1.1,False,False,False,True,False,True,0.9677147077442498,0.8844744455159113,0.9242241031841999,0.7503004887401493,0.8342449767078993,0.8240296554731792,0.825195997091955
0.64,0.13,1100,0.3,1.1,False,False,False,True,False,True,0.9677351328553353,0.885053037608486,0.9245492092273597,0.7502799979732242,0.8341010349505197,0.8239267814338636,0.8250882903968445
0.64,0.135,1100,0.3,1.1,False,False,False,True,False,True,0.9675789473684211,0.8864030858244938,0.9252138902868646,0.7501458879792454,0.8342507777180509,0.8239773716275022,0.8251632055398377
0.64,0.14,1100,0.3,1.1,False,False,False,True,False,True,0.9675789473684211,0.8864030858244938,0.9252138902868646,0.7501393500303121,0.8342507777180509,0.8239773716275022,0.8251632055398377
0.64,0.145,1100,0.3,1.1,False,False,False,True,False,True,0.9673752894127552,0.8864030858244938,0.9251207729468599,0.7501211453643442,0.8342507777180509,0.8239773716275022,0.8251632055398377
